"Year(s)","Country","Ebola subtype","Reported number of human cases","Reported number of deaths among cases","Reported % of deaths among cases"
"November 2012-January 2013","Uganda","Sudan virus","6","3","0.5"
"June-November 2012","Democratic Republic of the Congo","Bundibugyo virus","36","13","0.361"
"June-October 2012","Uganda","Sudan virus","11","4","0.364"
"May 2011","Uganda","Sudan virus","1","1","1"
"December 2008-February 2009","Democratic Republic of the Congo","Zaire virus","32","15","0.47"
"Nov 2008","Philippines","Reston virus","6","0","0"
"December 2007-January 2008","Uganda","Bundibugyo virus","149","37","0.25"
"2007","Democratic Republic of the Congo","Zaire virus","264","187","0.71"
"2004","Russia","Zaire virus","1","1","1"
"2004","Sudan (South Sudan)","Sudan virus","17","7","0.41"
"November-December 2003","Republic of the Congo","Zaire virus","35","29","0.83"
"December 2002-April 2003","Republic of the Congo","Zaire virus","143","128","0.89"
"October 2001-March 2002","Republic of the Congo","Zaire virus","57","43","0.75"
"October 2001-March 2002","Gabon","Zaire virus","65","53","0.82"
"2000-2001","Uganda","Sudan virus","425","224","0.53"
"1996","Russia","Zaire virus","1","1","1"
"1996","Philippines","Reston virus","0","0","0"
"1996","USA","Reston virus","0","0","0"
"1996","South Africa","Zaire virus","2","1","0.5"
"1996-1997 (July-January)","Gabon","Zaire virus","60","45","0.74"
"1996 (January-April)","Gabon","Zaire virus","37","21","0.57"
"1995","Democratic Republic of the Congo (formerly Zaire)","Zaire virus","315","250","0.81"
"1994","Côte d'Ivoire (Ivory Coast)","Taï Forest virus","1","0","0"
"1994","Gabon","Zaire virus","52","31","0.6"
"1992","Italy","Reston virus","0","0","0"
"1989-1990","Philippines","Reston virus","3","0","0"
"1990","USA","Reston virus","4","0","0"
"1989","USA","Reston virus","0","0","0"
"1979","Sudan (South Sudan)","Sudan virus","34","22","0.65"
"1977","Zaire","Zaire virus","1","1","1"
"1976","England","Sudan virus","1","0","0"
"1976","Sudan (South Sudan)","Sudan virus","284","151","0.53"
"1976","Zaire (Democratic Republic of the Congo - DRC)","Zaire virus","318","280","0.88"
